TRAP,Type,LU_Around,Height_Mx,Dist_BG,Dist_Town,Robbed,Dist_Town_KM,Dist_GB_KM,Condition
9064,Burial Mound,Agriculture,6,36233.814377095245,1993.0224097867347,Yes,1.9930224097867346,36.23381437709524,5
9236,Burial Mound,Pasture,2,34883.00801836028,1554.1364912709114,Yes,1.5541364912709115,34.88300801836028,5
9240,Burial Mound,Pasture,3,34833.57722863335,1594.7427186021516,Yes,1.5947427186021517,34.83357722863335,4
9239,Burial Mound,Pasture,1.5,34933.86834415989,1492.7593857770228,Yes,1.4927593857770227,34.93386834415989,4
9245,Burial Mound,Pasture,3,34766.55101719652,1666.9495160836518,No,1.6669495160836518,34.76655101719652,4
9247,Burial Mound,Pasture,4,33073.62619918433,2080.6252037639315,Yes,2.0806252037639315,33.073626199184325,2
9165,Burial Mound,Pasture,6,32566.127241286715,2089.0297031126856,Yes,2.0890297031126854,32.566127241286715,4
9163,Burial Mound,Pasture,2.5,32473.443498665252,1961.177720029056,Yes,1.9611777200290559,32.473443498665254,5
9229,Burial Mound,Pasture,1,31857.638934202758,1222.926952988495,Yes,1.222926952988495,31.857638934202757,3
9250,Burial Mound,Pasture,3,30090.61190334882,1955.417347526198,Yes,1.955417347526198,30.090611903348822,2
9255,Burial Mound,Agriculture,1.7,30563.94766979496,1937.6425679469226,No,1.9376425679469225,30.56394766979496,5
9252,Burial Mound,Pasture,3,31679.10728346658,588.6357985720648,Yes,0.5886357985720648,31.67910728346658,4
9256,Burial Mound,Agriculture,1,29635.505903049776,2620.1653189440153,No,2.6201653189440153,29.635505903049776,5
9135,Burial Mound,Forest,3.5,29434.700706385094,1559.4280379213758,Yes,1.5594280379213759,29.434700706385094,5
9139,Burial Mound,Pasture,7,26289.063530319174,97.64832987395314,Yes,0.09764832987395314,26.289063530319172,5
9138,Burial Mound,Pasture,6,26604.901984139084,473.89102657056,Yes,0.47389102657056,26.604901984139083,5
9137,Burial Mound,Forest,8,26461.059065085083,851.2128047636453,Yes,0.8512128047636452,26.46105906508508,5
9136,Burial Mound,Forest,2,26695.777647304647,1199.9533385402606,Yes,1.1999533385402605,26.69577764730465,2
9133,Burial Mound,Agriculture,0.8,28063.02166459663,1259.5859293857743,Yes,1.2595859293857743,28.06302166459663,3
9140,Burial Mound,Pasture,2,25717.053759303075,889.9762009932554,Yes,0.8899762009932554,25.717053759303074,5
9251,Burial Mound,Pasture,2,29513.00538526687,2307.969179847395,Yes,2.307969179847395,29.513005385266872,4
9248,Burial Mound,Agriculture,2.5,31051.49447904296,855.3341057264169,No,0.8553341057264169,31.05149447904296,2
9158,Burial Mound,Agriculture,2,31458.543207814793,655.5905699779837,No,0.6555905699779837,31.45854320781479,5
9450,Burial Mound,Pasture,2,29106.70873541124,1639.8550823803416,Yes,1.6398550823803417,29.106708735411242,3
9448,Burial Mound,Pasture,2,29042.141404409933,1709.4303370722362,Yes,1.7094303370722361,29.042141404409932,4
9155,Burial Mound,Pasture,1.5,27548.521638905222,756.6472052198633,Yes,0.7566472052198633,27.54852163890522,5
9446,Burial Mound,Agriculture,5,26643.315163804524,2928.0989139575972,Yes,2.928098913957597,26.643315163804523,2
9445,Burial Mound,Pasture,1.5,26500.735685859265,3133.8250224299545,No,3.1338250224299546,26.500735685859265,4
9442,Burial Mound,Forest,1.5,24744.876738585885,1623.0437559047164,Yes,1.6230437559047164,24.744876738585884,2
9141,Burial Mound,Agriculture,2,26421.608668967176,1032.7401551756836,No,1.0327401551756836,26.421608668967174,5
9151,Burial Mound,Agriculture,3,27165.43770424354,211.80530578801188,No,0.21180530578801188,27.16543770424354,4
9156,Burial Mound,Agriculture,8,33069.86910830856,203.8027035542051,Yes,0.2038027035542051,33.06986910830856,4
9114,Extinct Burial Mound,Pasture,1.5,51259.74558189018,1409.4862390628841,No,1.4094862390628842,51.25974558189018,4
9117,Burial Mound,Pasture,1.5,51382.646521184695,1241.7522625487027,No,1.2417522625487027,51.3826465211847,4
9113,Extinct Burial Mound,Agriculture,0.8,51425.55540742091,1285.839862720733,No,1.285839862720733,51.42555540742091,4
9112,Extinct Burial Mound,Agriculture,1.5,51460.39766837428,1324.0943878029427,No,1.3240943878029428,51.46039766837428,4
9201,Burial Mound,Agriculture,5,55824.15807127744,1472.5611437128102,Yes,1.4725611437128103,55.82415807127744,2
9203,Burial Mound,Pasture,6,56582.84932266548,1402.7834971889224,Yes,1.4027834971889224,56.58284932266548,5
9207,Burial Mound,Pasture,3,56528.73626998406,781.478786442533,No,0.781478786442533,56.52873626998406,3
9206,Burial Mound,Agriculture,7,56509.914807540306,711.39991542763,Yes,0.71139991542763,56.509914807540305,1
9189,Burial Mound,Agriculture,1.5,56579.502713142385,1102.0838552197772,No,1.1020838552197771,56.57950271314238,5
9214,Extinct Burial Mound,Agriculture,5,56006.403306171174,85.97247052606727,No,0.08597247052606727,56.00640330617117,5
9210,Extinct Burial Mound,Agriculture,1.5,55728.49289331337,319.7522384994577,No,0.31975223849945766,55.72849289331337,5
9213,Burial Mound,Agriculture,4,55615.2002976157,181.51247483759707,No,0.18151247483759708,55.6152002976157,1
9208,Extinct Burial Mound,Agriculture,1.5,55798.27183021683,690.0177795656842,No,0.6900177795656842,55.79827183021683,5
9204,Burial Mound,Pasture,2,55233.13933530512,1727.0606595262802,No,1.7270606595262803,55.23313933530512,5
8004,Burial Mound,Scrub,7,34456.23733553937,1452.6173162400082,No,1.4526173162400082,34.45623733553937,1
6002,Burial Mound,Scrub,3.5,34382.98395490995,1531.3620001026213,No,1.5313620001026214,34.382983954909946,2
6005,Burial Mound,Forest,2,33934.454316344316,2203.492323099917,Yes,2.203492323099917,33.934454316344315,3
6006,Burial Mound,Forest,1.5,33875.99546210418,2274.644092176904,Yes,2.2746440921769038,33.875995462104186,2
8000,Burial Mound,Agriculture,6,33313.88940476682,2210.6383340989582,Yes,2.210638334098958,33.31388940476682,2
6019,Burial Mound,Agriculture,10,33302.03721404592,2249.3797140754878,No,2.249379714075488,33.302037214045924,2
6010,Burial Mound,Agriculture,0.5,32045.568121236036,1799.4779592491197,No,1.7994779592491197,32.04556812123604,5
6012,Extinct Burial Mound,Agriculture,0.5,32256.58677012329,912.7632976058699,No,0.9127632976058698,32.25658677012329,5
9388,Extinct Burial Mound,Agriculture,0.5,27872.11998341958,238.95655005636814,No,0.23895655005636815,27.87211998341958,5
9385,Burial Mound,Pasture,2,27655.326031467674,303.258368935449,Yes,0.30325836893544905,27.655326031467673,1
9387,Burial Mound,Pasture,1.7,28145.266232977174,1125.0198437599727,Yes,1.1250198437599728,28.145266232977175,1
9452,Burial Mound,Pasture,1.7,28069.012706911282,1296.2715158692192,No,1.2962715158692193,28.069012706911284,1
9382,Burial Mound,Pasture,6,27813.075462446228,1117.280669238714,Yes,1.1172806692387138,27.81307546244623,1
9359,Burial Mound,Agriculture,2,29849.36401318443,12.793129636189548,Yes,0.012793129636189548,29.84936401318443,2
9360,Burial Mound,Pasture,14,30132.776490587843,0,No,0,30.132776490587844,4
8051,Burial Mound,Agriculture,2,32852.69920178637,833.7428130527097,Yes,0.8337428130527097,32.852699201786365,3
8009,Burial Mound,Agriculture,4,33083.73778990739,2116.5957337363475,No,2.1165957337363475,33.08373778990739,4
8007,Burial Mound,Pasture,4.5,33549.69544020798,2100.3860963215475,No,2.1003860963215475,33.54969544020798,1
6009,Burial Mound,Scrub,1.5,33459.33434805415,2112.8003481615046,Yes,2.1128003481615045,33.45933434805415,3
7004,Burial Mound,Scrub,3.5,33451.27334900034,2074.7682062820154,No,2.074768206282015,33.45127334900034,1
7005,Burial Mound,Agriculture,2.5,34732.17402096956,1738.2152271424613,Yes,1.7382152271424613,34.732174020969566,5
6003,Burial Mound,Scrub,6,34583.58839155713,1327.0231273651445,No,1.3270231273651445,34.58358839155713,1
9188,Burial Mound,Agriculture,1.8,56556.68667961274,1288.5492112621705,No,1.2885492112621706,56.556686679612746,5
8017,Burial Mound,Pasture,3,36938.50494329769,509.9795411583959,Yes,0.5099795411583958,36.93850494329769,4
7011,Burial Mound,Agriculture,1.5,36012.671664845126,1265.7254247744395,No,1.2657254247744394,36.01267166484512,5
7012,Burial Mound,Agriculture,2.5,36090.25223067059,1186.986368475104,No,1.186986368475104,36.090252230670586,2
6016,Burial Mound,Agriculture,1.5,35439.33331195654,1693.227406547826,No,1.6932274065478259,35.439333311956545,4
